Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                  91",6.764985100530e-01,2.272866481905e-01,-2.994257632592e-01,7.971075278253e-01,2.177138002799e-01,-3.003845442121e-01,1.206090177723e-01,-9.572847910581e-03,-9.587809529354e-04
"                  92",6.779895136848e-01,2.329909492710e-01,-2.232544002184e-01,7.992448177297e-01,2.236863488145e-01,-2.243069486959e-01,1.212553040449e-01,-9.304600456466e-03,-1.052548477501e-03
"                  93",6.759387018447e-01,2.267052660879e-01,-7.176671782585e-02,7.978343754104e-01,2.177507565688e-01,-7.285348192531e-02,1.218956735657e-01,-8.954509519161e-03,-1.086764099462e-03
"                  94",6.732376796626e-01,2.155737995993e-01,9.567446076813e-02,7.956430781106e-01,2.069044967274e-01,9.461709867457e-02,1.224053984479e-01,-8.669302871874e-03,-1.057362093562e-03
"                  95",6.713881783279e-01,2.110484993124e-01,1.572382208832e-01,7.942153292048e-01,2.025415318124e-01,1.562446682048e-01,1.228271508768e-01,-8.506967499992e-03,-9.935526784443e-04
"                  96",6.702269759575e-01,2.130410735165e-01,1.152832546041e-01,7.933582435528e-01,2.045971574470e-01,1.143475197374e-01,1.231312675953e-01,-8.443916069456e-03,-9.357348666839e-04
"                  97",6.706816974621e-01,2.181680295872e-01,-8.575158263138e-03,7.940750358408e-01,2.097528155643e-01,-9.494916423579e-03,1.233933383787e-01,-8.415214022854e-03,-9.197581604416e-04
"                  98",6.720130690554e-01,2.221735832268e-01,-1.181037567583e-01,7.956287076726e-01,2.137916898687e-01,-1.190495656275e-01,1.236156386173e-01,-8.381893358091e-03,-9.458088691911e-04
"                  99",6.739262188209e-01,2.249872075471e-01,-1.771197917089e-01,7.977989290703e-01,2.166622440703e-01,-1.781184287700e-01,1.238727102494e-01,-8.324963476802e-03,-9.986370610066e-04
"                 100",6.747201835883e-01,2.254687270680e-01,-1.969929546285e-01,7.988347899784e-01,2.172172142820e-01,-1.980439885824e-01,1.241146063902e-01,-8.251512786035e-03,-1.051033953920e-03
"                 101",6.747184555689e-01,2.256854071086e-01,-1.932818312302e-01,7.990907947674e-01,2.175207088420e-01,-1.943751156576e-01,1.243723391985e-01,-8.164698266576e-03,-1.093284427406e-03
"                 102",6.738591736745e-01,2.262436607701e-01,-1.574100393994e-01,7.984366734154e-01,2.181648307140e-01,-1.585286488365e-01,1.245774997409e-01,-8.078830056165e-03,-1.118609437119e-03
"                 103",6.731368809811e-01,2.288019305280e-01,-1.102035144184e-01,7.979053597985e-01,2.208138426377e-01,-1.113360074513e-01,1.247684788174e-01,-7.988087890256e-03,-1.132493032870e-03
"                 104",6.733691694894e-01,2.317757950748e-01,-9.030219155484e-02,7.982849746331e-01,2.238893089515e-01,-9.143921167659e-02,1.249158051437e-01,-7.886486123289e-03,-1.137020121755e-03
"                 105",6.746737062537e-01,2.365346711734e-01,-1.040307070729e-01,7.997597229149e-01,2.287745354253e-01,-1.051757565534e-01,1.250860166612e-01,-7.760135748118e-03,-1.145049480499e-03
"                 106",6.749671394648e-01,2.366973930037e-01,-1.329172567552e-01,8.002282793115e-01,2.290825328944e-01,-1.340723977638e-01,1.252611398466e-01,-7.614860109219e-03,-1.155141008549e-03
"                 107",6.743065338549e-01,2.347730143769e-01,-1.449509309292e-01,7.997276240117e-01,2.272895817142e-01,-1.461281614400e-01,1.254210901569e-01,-7.483432662671e-03,-1.177230510752e-03
"                 108",6.738418959777e-01,2.326956555304e-01,-1.390966507281e-01,7.993827679692e-01,2.253163197848e-01,-1.402911410830e-01,1.255408719916e-01,-7.379335745655e-03,-1.194490354948e-03
"                 109",6.742754157232e-01,2.329335906308e-01,-1.286801447600e-01,7.999238125010e-01,2.256307751673e-01,-1.298901271293e-01,1.256483967778e-01,-7.302815463427e-03,-1.209982369335e-03
"                 110",6.756497254752e-01,2.388241829574e-01,-1.226425339442e-01,8.014131073475e-01,2.315977340043e-01,-1.238531609375e-01,1.257633818723e-01,-7.226448953051e-03,-1.210626993292e-03
"                 111",6.761323892473e-01,2.436544979986e-01,-1.127042343207e-01,8.020340832779e-01,2.365461396199e-01,-1.139138691004e-01,1.259016940305e-01,-7.108358378737e-03,-1.209634779720e-03
"                 112",6.758009922164e-01,2.436098885497e-01,-1.045709579438e-01,8.018387966608e-01,2.366425963558e-01,-1.057680544121e-01,1.260378044444e-01,-6.967292193973e-03,-1.197096468319e-03
"                 113",6.758499374530e-01,2.398165857522e-01,-5.286195520314e-02,8.020203451210e-01,2.329705067638e-01,-5.404960113138e-02,1.261704076680e-01,-6.846078988420e-03,-1.187645928246e-03
"                 114",6.782331582579e-01,2.387936195361e-01,-4.587670665051e-02,8.045586403086e-01,2.320223527673e-01,-4.704065640572e-02,1.263254820507e-01,-6.771266768853e-03,-1.163949755216e-03
"                 115",6.814269107875e-01,2.382799919547e-01,-1.398659563594e-01,8.079742034574e-01,2.315510180867e-01,-1.410214324141e-01,1.265472926699e-01,-6.728973868063e-03,-1.155476054653e-03
"                 116",6.827747252553e-01,2.408022401861e-01,-1.955222714003e-01,8.095957520250e-01,2.340976354222e-01,-1.966857661722e-01,1.268210267698e-01,-6.704604763919e-03,-1.163494771833e-03
"                 117",6.804957928190e-01,2.442447003811e-01,-1.306127166200e-01,8.075637539607e-01,2.375826124807e-01,-1.318027590385e-01,1.270679611417e-01,-6.662087900444e-03,-1.190042418478e-03
"                 118",6.785322186812e-01,2.478155587467e-01,-4.349964040908e-02,8.057645931760e-01,2.412281520466e-01,-4.469237326045e-02,1.272323744948e-01,-6.587406700170e-03,-1.192732851376e-03
"                 119",6.766986938929e-01,2.476398362365e-01,7.713593689132e-02,8.040391522139e-01,2.411633621426e-01,7.595814485128e-02,1.273404583210e-01,-6.476474093939e-03,-1.177792040038e-03
"                 120",6.772430977119e-01,2.459434409827e-01,9.589624139953e-02,8.046494709646e-01,2.395606022514e-01,9.476496634290e-02,1.274063732527e-01,-6.382838731370e-03,-1.131275056630e-03
"                 121",6.787633231365e-01,2.426782857878e-01,9.450578461878e-02,8.062581150955e-01,2.363607862589e-01,9.340337804932e-02,1.274947919590e-01,-6.317499528841e-03,-1.102406569452e-03
"                 122",6.801810121976e-01,2.422450044006e-01,1.026318721687e-02,8.077764169766e-01,2.359388314048e-01,9.179968342284e-03,1.275954047790e-01,-6.306172995817e-03,-1.083218874588e-03
"                 123",6.773769892915e-01,2.407650392616e-01,2.042058023064e-02,8.050716253202e-01,2.344553297279e-01,1.931275976922e-02,1.276946360287e-01,-6.309709533612e-03,-1.107820461424e-03
"                 124",6.756114186629e-01,2.456991284615e-01,-8.363939897403e-02,8.033099147208e-01,2.393714583222e-01,-8.477875355426e-02,1.276984960579e-01,-6.327670139252e-03,-1.139354580231e-03
"                 125",6.797095418694e-01,2.508068236428e-01,-3.097245547093e-01,8.074498517043e-01,2.445282371616e-01,-3.109427835397e-01,1.277403098349e-01,-6.278586481199e-03,-1.218228830408e-03
"                 126",6.739828998727e-01,2.544795235540e-01,-2.887211421427e-01,8.017781146960e-01,2.482860175928e-01,-2.900281900169e-01,1.277952148233e-01,-6.193505961178e-03,-1.307047874164e-03
"                 127",6.743734320275e-01,2.491405630373e-01,-2.395177964347e-01,8.021620056998e-01,2.430865236424e-01,-2.409144361235e-01,1.277885736723e-01,-6.054039394929e-03,-1.396639688772e-03
"                 128",6.790455155532e-01,2.441635539452e-01,-1.839379179675e-01,8.068678410995e-01,2.381727702299e-01,-1.853738782147e-01,1.278223255463e-01,-5.990783715314e-03,-1.435960247155e-03
"                 129",6.799038020999e-01,2.430003299589e-01,-1.137344169783e-01,8.078781732834e-01,2.370496766687e-01,-1.151972103858e-01,1.279743711836e-01,-5.950653290164e-03,-1.462793407499e-03
"                 130",6.816076853510e-01,2.427012208387e-01,-3.298794571546e-02,8.097324533023e-01,2.367377906616e-01,-3.443874740286e-02,1.281247679513e-01,-5.963430177099e-03,-1.450801687406e-03
"                 131",6.821531701659e-01,2.423591521670e-01,-3.126132074102e-02,8.104671973990e-01,2.363974285518e-01,-3.270288829508e-02,1.283140272331e-01,-5.961723615197e-03,-1.441567554064e-03
"                 132",6.841231408410e-01,2.371521134766e-01,-6.991230228182e-02,8.125945851117e-01,2.311324416122e-01,-7.132756991607e-02,1.284714442707e-01,-6.019671864398e-03,-1.415267634256e-03
"                 133",6.830041965231e-01,2.342884525349e-01,-1.111992164986e-02,8.116589834019e-01,2.281969800022e-01,-1.253789374121e-02,1.286547868788e-01,-6.091472532664e-03,-1.417972091353e-03
"                 134",6.830544193744e-01,2.326192881871e-01,4.110812593003e-02,8.117883960212e-01,2.263965944276e-01,3.972033874920e-02,1.287339766468e-01,-6.222693759438e-03,-1.387787180837e-03
"                 135",6.842890427191e-01,2.311380100054e-01,-3.122208257445e-02,8.130984437951e-01,2.247910012926e-01,-3.259032629682e-02,1.288094010759e-01,-6.347008712800e-03,-1.368243722369e-03
"                 136",6.871707774316e-01,2.312910274528e-01,-1.670320682441e-01,8.160495657876e-01,2.247884149553e-01,-1.683881523722e-01,1.288787883561e-01,-6.502612497436e-03,-1.356084128014e-03
"                 137",6.908914979438e-01,2.307379708233e-01,-2.865753462162e-01,8.199223172728e-01,2.241010494619e-01,-2.879668297026e-01,1.290308193290e-01,-6.636921361381e-03,-1.391483486445e-03
